Step,Completed?,Item/Objective,Category,Location,Notes
64,FALSE,Blaidd,NPC,West Limgrave,"Once you beat Bloodhound Knight Darriwil in the Forlorn Hound Evergaol, speak to Blaidd. He will give you a Somber Smithing Stone 2"
65,FALSE,Kenneth Haight,NPC,East Limgrave,"Northeast from Mistwood Outskirts SoG, on top of the ruin platform"
66,FALSE,Fevor's Cookbook 1,Cookbook,East Limgrave,"North from Kenneth near the graves, you need to go up from where Kenneth is"
67,FALSE,Third Church of Marika,SoG/Location,East Limgrave,Northeast from Mistwood Outskirts SoG and past Kenneth
68,FALSE,Melina,NPC,East Limgrave,Third Church of Marika SoG. Exhaust Dialogue
69,FALSE,Sacred Tear,Flask,East Limgrave,Found in Third Church of Marika
70,FALSE,Flask of Wondrous Physick,Key Item,East Limgrave,Found in Third Church of Marika
71,FALSE,Crimson Crystal Tear,Crystal Tear,East Limgrave,Found in Third Church of Marika
72,FALSE,Ash of War: Sacred Blade,Ash of War,East Limgrave,"From the Third Church of Marika, go across the water and up the hill to the right. Kill the Scarab"
73,FALSE,Stormfoot Catacombs,SoG/Location,West Limgrave,Return to the Church of Elleh and head Northwest. This will be tucked away behind some boulders. Go through the door. You can shoot the fire shooting pillars with an arrow to lower them. Has Grave Glovewort 1 and Ghost Glovewort 1
74,FALSE,Ghost,Ghost,Stormfoot Catacombs,Found in a chair just past the Stormfoot Catacombs SoG. Typically these ghosts can be ignored but they do offer up pieces of lore
75,FALSE,Prattling Pate (Hello),Key Item,Stormfoot Catacombs,"Move through catacombs, found after first fire shooting pillar"
76,FALSE,Wandering Noble Ashes,Spirit Ashes,Stormfoot Catacombs,"After fire pillars and going up the ladder, in room straight ahead"
77,FALSE,Erdtree Burial Watchdog,Boss,Stormfoot Catacombs,Drops the Noble Sorcerer Ashes
78,FALSE,Noble Sorcerer Ashes,Spirit Ashes,Stormfoot Catacombs,Dropped by Erdtree Burial Watchdog
79,FALSE,Groveside Cave,SoG/Location,West Limgrave,"North from Curch of Elleh, in the forest along the cliff face"
80,FALSE,Cracked Pot,Consumable,Groveside Cave,Found on a corpse just past the entrance of the cave
81,FALSE,Beastman of Farum Azula,Boss,Groveside Cave,Drops the Flamedrake Talisman
82,FALSE,Flamedrake Talisman,Talisman,Groveside Cave,Dropped by Beastman of Farum Azula
83,FALSE,Night's Cavalry,Boss,West Limgrave,"Head Southeast from Agheel Lake North SoG, at night, you can find this boss roaming the bridge. He will drop the Ash of War: Repeating Thrust. Can be a difficult fight this early, you can return to this step later if you need"
84,FALSE,Ash of War: Repeating Thrust,Ash of War,West Limgrave,Received from defeating the Night's Cavalry boss in West Limgrave
85,FALSE,Waypoint Ruins,SoG/Location,West Limgrave,"Return to Agheel Lake North SoG, then head Southeast, across the bridge, then Southeast"
86,FALSE,Mad Pumpkin Head,Boss,Waypoint Ruins,In the cellar at Waypoint Ruins
87,FALSE,Waypoint Ruins Cellar,SoG/Location,Waypoint Ruins,"After Mad Pumpkin Head boss in the Waypoint Ruins, this SoG will appear"
88,FALSE,Sorceress Sellen,NPC,Waypoint Ruins,"After Mad Pumpkin Head boss in the next room, under the Waypoint Ruins. Accept to become her apprentice to buy sorceries. If you purchase a sorcery from her, she will have an additional dialogue option in the menu"
89,FALSE,Nod in Thought,Gesture,Waypoint Ruins,After speaking to Sorceress Sellen and becoming her apprentice
90,FALSE,Glintstone Pebble,Sorcery,Waypoint Ruins,Sold by Sellen
91,FALSE,Glintstone Stars,Sorcery,Waypoint Ruins,Sold by Sellen
92,FALSE,Glintstone Arc,Sorcery,Waypoint Ruins,Sold by Sellen
93,FALSE,Crystal Barrage,Sorcery,Waypoint Ruins,Sold by Sellen
94,FALSE,Scholar's Armament,Sorcery,Waypoint Ruins,Sold by Sellen
95,FALSE,Scholar's Shield,Sorcery,Waypoint Ruins,Sold by Sellen
96,FALSE,Greataxe,Greataxe,West Limgrave,"Near Waypoint Ruins, reload area just outside to find caravan. Attack giants and grab weapon from the chest in the wagon"
97,FALSE,Ash of War: Unsheathe,Ash of War,West Limgrave,"Southeast part of the Agheel Lake, guarded by giant crabs. Easiest to come at this from the Agheel Lake South SoG"
98,FALSE,Royal House Scroll,Scroll,West Limgrave,Unnamed enemy camp near the Agheel Lake South site of grace. On top of a building near the sorcerer shooting spells. ONLY GIVE TO TURTLE AT CHURCH OF VOWS
99,FALSE,Great Epee,Heavy Thrusting Sword,West Limgrave,Unnamed Enemy Camp near the Agheel Lake South SoG. In a chest
100,FALSE,Starlight Shard,Key Item,West Limgrave,Southeast from camp in previous step
101,FALSE,Yura,NPC,West Limgrave,"Directly West of Agheel Lake South SoG, under archway. Exhaust dialogue"
102,FALSE,Seaside Ruins,SoG/Location,West Limgrave,Directly West of Agheel Lake South SoG
103,FALSE,Ash of War: Gravitas,Ash of War,West Limgrave,"From Seaside Ruins SoG, head to the cliff edge West of the SoG, and carefully descend while on Torrent. Kill the pale giant enemy at the bottom to obtain"
104,FALSE,Haligdrake Talisman,Talisman,West Limgrave,North part of the beach after descending from the Seaside Ruins SoG and fighting the pale giant enemy. Go through cave. This will return you to the Cave of Knowledge
105,FALSE,Stonesword Key,Key Item,West Limgrave,"From the Agheel Lake South SoG, head South/Southeast along the road between the cliff edges. Will be at the other end of the Bridge of Sacrifice"
106,FALSE,Bridge of Sacrifice,SoG/Location,West Limgrave,"South/Southeast from the Agheel Lake South SoG, across the Bridge of Sacrifice (location)"
107,FALSE,Irina,NPC,West Limgrave,Just East of Bridge of Sacrifice SoG. Exhaust Dialogue. Receive Irina's Letter
108,FALSE,Irina's Letter,Quest Item,West Limgrave,Received after speaking to Irina at Bridge of Sacrifice
109,FALSE,Dragon-Burnt Ruins,SoG/Location,Agheel Lake,"Return to Seaside Ruins SoG, then head North. Located in the South part of Agheel Lake"
110,FALSE,Stonesword Key,Key Item,Dragon-Burnt Ruins,Base of a small tower guarded by a rat
111,FALSE,Twinblade,Twinblade,Dragon-Burnt Ruins,Chest underground in the ruins. You need Torrent to jump over part of the ruins to access this
112,FALSE,Trapped Chest - To Caelid/Dragonbarrow,Shortcut,Dragon-Burnt Ruins,"Trapped chest is underground. Do not stay in the new area. Run to the site of grace, then run outside to warp out"
113,FALSE,Flying Dragon Agheel,Boss,Agheel Lake,Return to the First Step SoG and head East to Agheel Lake. Found in the center of the lake after you reach the large fire with enemies nearby. Use Torrent. Drops a Dragon Heart
114,FALSE,Yura,Summon,Agheel Lake,"NOTE: If you die to Flying Dragon Agheel, you can speak to Yura again and then his summon sign will appear next to the stake of Marika"
115,FALSE,Dragon Heart,Key Item,Agheel Lake,Dropped by Flying Dragon Agheel. Used to get Dragon Incantations
116,FALSE,Limgrave Tunnels,SoG/Location,Agheel Lake,Northwest part of Agheel Lake. Contains Smithing Stone 1 and Somber Smithing Stone 1
117,FALSE,Stonedigger Troll,Boss,Limgrave Tunnels,Drops the Roar Medallion
118,FALSE,Roar Medallion,Talisman,Limgrave Tunnels,Dropped by the Stonedigger Troll in the Limgrave Tunnels
119,FALSE,Kale,NPC,West Limgrave,Return to Church of Elleh and speak to him about Blaidd and optional dialogue
120,FALSE,Yura,NPC,West Limgrave,Speak to Yura near Seaside Ruins SoG for additional dialogue
121,FALSE,Bloody Finger Nerijus,Invader,Agheel Lake,"Head North from the Agheel Lake South SoG and continue into the canyon. You will get invaded. Yura will join this fight, DO NOT LET HIM DIE"
122,FALSE,Reduvia,Dagger,Agheel Lake,Received from defeating Bloody Finger Nerijus
123,FALSE,Murkwater Cave,SoG/Location,Agheel Lake,"Follow the river in the Northeast part of the Agheel Lake, near where you fought Bloody Finger Nerijus Invader"
124,FALSE,Cloth Garb,Armor Set - Partial,Murkwater Cave,In a chest in the room. Grab this to trigger boss fight. This is part of the Guilty Set
125,FALSE,Cloth Trousers,Armor Set - Partial,Murkwater Cave,In a chest in the room. Grab this to trigger boss fight. This is part of the Guilty Set
126,FALSE,Patches,Boss,Murkwater Cave,"DO NOT KILL HIM. When he begs for mercy, stop attacking"
127,FALSE,Grovel for Mercy,Gesture,Murkwater Cave,Received from Patches
128,FALSE,Patches,NPC,Murkwater Cave,Accept apology from Patches to get merchant. Reload and exhaust dialogue
129,FALSE,Margit's Shackle,Key Item,Murkwater Cave,Sold by Patches
130,FALSE,Parrying Dagger,Dagger,Murkwater Cave,Sold by Patches
131,FALSE,Horse Crest Wooden Shield,Medium Shield,Murkwater Cave,Sold by Patches
132,FALSE,Stonesword Key,Key Item,Murkwater Cave,Sold by Patches
133,FALSE,Missionary's Cookbook 2,Cookbook,Murkwater Cave,Sold by Patches
134,FALSE,Sacrificial Twig,Talisman,Murkwater Cave,"Sold by Patches, sells 1"
135,FALSE,Open the Chest,Event,Murkwater Cave,"Open the chest near Patches after reloading and making him a merchant. This will be trapped, teleporting you to the Mistwood. Make your way back to Murkwater Cave immediately"
136,FALSE,Calm Down!,Gesture,Murkwater Cave,Received from Patches after activating the trapped chest in Murkwater Cave. Must have defeated him without killing him
137,FALSE,Yura,NPC,Agheel Lake,Head North from Murkwater Cave continuing through the canyon and exhaust dialogue
138,FALSE,Murkwater Catacombs,SoG/Location,Agheel Lake,"From Murkwater Cave, continue to the end of the canyon, found through a door. Contains Ghost Glovewort 1 and Grave Glovewort 1"
139,FALSE,Grave Warden Duelist,Boss,Murkwater Catacombs,Drops the Banished Knight Engvall Ashes
140,FALSE,Banished Knight Engvall Ashes,Spirit Ashes,Murkwater Catacombs,Dropped by Grave Warden Duelist
141,FALSE,Tree Sentinel,Boss,West Limgrave,Return to Church of Elleh. This is the giant on the horse roaming outside the church. Drops the Golden Halberd
142,FALSE,Golden Halberd,Halberd,West Limgrave,Dropped by Tree Sentinel
143,FALSE,Ash of War: Stamp Sweep,Ash of War,West Limgrave,"From the Church of Elleh, head West and downhill until you find the beach with Land Octopus enemies. You'll find a light trail indicating there is an invisible scarab. Kill it to receive this ash of war"
144,FALSE,Coastal Merchant,NPC,West Limgrave,"Head West from the Church of Elleh SoG and down to the beach, then head South until you pass the Coastal Cave and find the merchant under a rock structure. Has 3 Smithing Stone 1. Kill for Nomadic Merchant's Bell Bearing 3"
145,FALSE,Nomadic Merchant's Bell Bearing 3,Bell Bearing,West Limgrave,Kill Coastal Merchant on the West beaches of Limgrave
146,FALSE,Club,Hammer,West Limgrave,Sold by merchant on the beach
147,FALSE,Broadsword,Straight Sword,West Limgrave,Sold by merchant on the beach
148,FALSE,Shortbow,Light Bow,West Limgrave,Sold by merchant on the beach
149,FALSE,Iron Roundshield,Small Shield,West Limgrave,Sold by merchant on the beach
150,FALSE,Armorer's Cookbook 2,Cookbook,West Limgrave,Sold by merchant on the beach
151,FALSE,Coastal Cave,SoG/Location,West Limgrave,"From the First Step SoG, make your way West and down the slopes to find the cave on the beach"
152,FALSE,Boc,NPC,Coastal Cave,Speak to him near the grace
153,FALSE,Old Knight Istvan,Summon,Coastal Cave,Right before boss
154,FALSE,Demi-Human Chiefs,Boss,Coastal Cave,Defeat to receive Sewing Needle and Tailoring Tools
155,FALSE,Sewing Needle,Key Item,Coastal Cave,Received from Demi-Human Chiefs boss. Give to Boc
156,FALSE,Tailoring Tools,Key Item,Coastal Cave,Received from Demi-Human Chiefs boss. Used for altering clothes
157,FALSE,Church of Dragon Communion,SoG/Location,Coastal Cave,Continue through the tunnel in the Coastal Cave where you found the Demi-Human Chief bosses. Used for offering Dragon Hearts to get special Incantations
158,FALSE,Boc,NPC,Coastal Cave,Give Sewing Needle
159,FALSE,Golden Seed,Flask,West Limgrave,Return to the Gatefront SoG. Go through the large gate and along the road through the canyon. You will find the Golden Tree on the right containing this item
160,FALSE,Stormhill Shack,SoG/Location,West Limgrave,"After finding the golden seed along the road from the Gatefront SoG, continue along the road North and you'll find this SoG to the right"
161,FALSE,Stonesword Key,Key Item,West Limgrave,Up on a platform near the Stormhill Shack SoG
162,FALSE,Roderika,NPC,West Limgrave,Speak to her in the Stormhill Shack until she gives you the Sitting Sideways gesture and the Spirit Jellyfish Ashes
163,FALSE,Sitting Sideways,Gesture,West Limgrave,Received from talking to Roderika
164,FALSE,Spirt Jellyfish Ashes,Spirit Ashes,West Limgrave,Received from talking to Roderika. Needed for content later
165,FALSE,Godrick Soldier Ashes,Spirit Ashes,West Limgrave,"From the Stormhill Shack SoG, head South/Southwest along the cliff edge, hug it to your right and you should be able to double back on the higher spot. Look for the graveyard area with the red jellyfish spirits"
166,FALSE,Starlight Shard,Key Item,West Limgrave,"Directly South from the Stormhill Shack SoG, stay on the elevated area. Will be in the shrine looking structure"
167,FALSE,Crossed Legs,Gesture,West Limgrave,"From the Starlight Shard found in the previous step, or directly South from the Stormhill Shack SoG. Look for the structure with a corpse sitting on top"
168,FALSE,Arrow's Reach Talisman,Talisman,West Limgrave,"Return to the Stormhill Shack SoG. Return to where you found the Golden Seed and follow the elevated area to the right. You'll see the two towers that make the large gate, go inside the tower on your side. Found in a chest"
169,FALSE,Warmaster's Shack,SoG/Location,West Limgrave,Return to Stormhill Shack and head East. You'll mostly go along a path and a small hut with Knight Bernahl inside
170,FALSE,Knight Bernahl,NPC,Warmaster's Shack,Sells Ash of War. Exhaust Dialogue. Choose "My Faith Holds True" option
171,FALSE,Ash of War: Stamp Upward Cut,Ash of War,Warmaster's Shack,Sold by Knight Bernahl
172,FALSE,Ash of War: Kick,Ash of War,Warmaster's Shack,Sold by Knight Bernahl
173,FALSE,Ash of War: Endure,Ash of War,Warmaster's Shack,Sold by Knight Bernahl
174,FALSE,Ash of War: War Cry,Ash of War,Warmaster's Shack,Sold by Knight Bernahl
175,FALSE,Ash of War: Spinning Slash,Ash of War,Warmaster's Shack,Sold by Knight Bernahl
176,FALSE,Ash of War: Impaling Thrust,Ash of War,Warmaster's Shack,Sold by Knight Bernahl
177,FALSE,Ash of War: Quickstep,Ash of War,Warmaster's Shack,Sold by Knight Bernahl
178,FALSE,Ash of War: Storm Blade,Ash of War,Warmaster's Shack,Sold by Knight Bernahl
179,FALSE,Ash of War: Parry,Ash of War,Warmaster's Shack,Sold by Knight Bernahl
180,FALSE,Ash of War: No Skill,Ash of War,Warmaster's Shack,Sold by Knight Bernahl
181,FALSE,Bell Bearing Hunter,Invader,Warmaster's Shack,Will invade at night. Drops the Bone Peddler's Bell Bearing. HARD FIGHT. You can come back later
182,FALSE,Bone Peddler's Bell Bearing,Key Item,Warmaster's Shack,Dropped by the Bell Bearing Hunter at Warmaster's Shack
183,FALSE,Beast Crest Heater Shield,Medium Shield,West Limgrave,Northeast of Warmaster's Shack SoG in a chest in an enemy camp
184,FALSE,Iron Fist Alexander,NPC,East Limgrave,"East of camp leading from Warmaster's Shack. Speak to him, then knock him out of the hole, then exhaust dialogue. NOTE: You can kill him here to receive the Warrior Jar Shard, but you will not be able to complete his questline. Recommended to do this at the start of your second playthrough"
185,FALSE,Warrior Jar Shard,Talisman,East Limgrave,Kill Alexander here for this talisman. This does end his questline
186,FALSE,Triumphant Delight,Gesture,East Limgrave,Received from Iron Fist Alexander after freeing him
187,FALSE,Saintsbridge,SoG/Location,East Limgrave,"Backtrack down to the path leading back to the camp, then head East along the path. Should be just below where you first met Iron Fist Alexander"
188,FALSE,Rear Gael Tunnel Entrance,SoG/Location,East Limgrave,"Return to the Third Church of Marika SoG, head North and continue up the spirit springs until you pass a pack of wolves, go up that spirit spring and the tunnel should be to the right of the final spirit spring leading to Caelid. You can find Iron Fist Alexander here"
189,FALSE,Iron Fist Alexander,NPC,East Limgrave,Found near the Rear Gael Tunnel Entrance SoG. This step is optional but he does have some extra dialogue and lore
190,FALSE,Nomadic Merchant,NPC,East Limgrave,"From Saintsbridge SoG, head across the bridge past the pumpkin head enemy and you'll find him just to the right after the bridge. Kill for Nomadic Merchant's Bell Bearing 1"
191,FALSE,Nomadic Merchant's Bell Bearing 1,Bell Bearing,East Limgrave,Received from killing Nomadic Merchant near Saintsbridge
192,FALSE,Nomadic Warrior's Cookbook 3,Cookbook,East Limgrave,"Sold by merchant, across the bridge and to the right"
193,FALSE,Halberd,Halberd,East Limgrave,"Sold by merchant, across the bridge and to the right"
194,FALSE,Short Sword,Straight Sword,West Limgrave,"Sold by merchant, across the bridge and to the right"
195,FALSE,Bandit Mask,Helmet,East Limgrave,"Sold by merchant, across the bridge and to the right. Part of the Bandit Set"
196,FALSE,Cracked Pot,Consumable,East Limgrave,Sold by merchant
197,FALSE,"D, Hunter of the Dead",NPC,East Limgrave,"From the merchant near Saintsbridge, head East down toward Summonwater Village, speak to D and exhaust dialogue"
198,FALSE,Summonwater Village Outskirts,SoG/Location,East Limgrave,"After speaking to D, head East toward the Summonwater Village"
199,FALSE,Tibia Mariner,Boss,East Limgrave,Tibia Mariner in Summonwater Village. Drops the Skeletan Militiaman Ashes and a Deahtroot
200,FALSE,Deathroot,Quest Item,East Limgrave,Dropped by Tibia Mariner in Summonwater Village. Second one found
201,FALSE,Skeletal Militiaman Ashes,Spirit Ashes,East Limgrave,Dropped by Tibia Mariner in Summonwater Village
202,FALSE,Green Turtle Talisman,Talisman,East Limgrave,"In an underground area beneath Summonwater Village, on the East side, need Stonesword Key"
203,FALSE,"D, Hunter of the Dead",NPC,East Limgrave,"Arrives in Summonwater after beating Tibia Mariner. Reload the area by quitting out, then find and exhaust Dialogue. Choose ""Accept Invitation"""
204,FALSE,Strength-Knot Crystal Tear,Crystal Tear,West Limgrave,"Return to the Warmaster's Shack SoG, then head Northwest. Youll find some giant pillars with an elevated area to your left. Go to the elevated area and hug the cliff edge, will be found near the giant enemy in a stone bowl"
205,FALSE,Recusant Henricus,Invader,West Limgrave,"North of Warmaster's Shack SoG or North/Northeast of the Strength-Knot Crystal Tear, near colosseum structure. This is an invader. Drops Hammer Talisman"
206,FALSE,Hammer Talisman,Talisman,West Limgrave,Dropped by Recusant Henricus
207,FALSE,Small Red Effigy,Online,West Limgrave,Sitting outside Colosseum door
208,FALSE,Duelist's Furled Finger,Online,West Limgrave,Sitting outside Colosseum door
209,FALSE,Deathbird,Boss,West Limgrave,"At night, you can go Southeast from Warmaster's Shack SoG to encounter on top of a ruin in a plateau with the giant trolls. Drops the Blue-Feathered Branchsword"
210,FALSE,Blue-Feathered Branchsword,Talisman,West Limgrave,Dropped by Deathbird found near Warmaster's shack
211,FALSE,Ash of War: Golden Vow,Ash of War,West Limgrave,"Southeast from the Coloseum, kill mounted enemy along the cliff"
212,FALSE,Lance,Great Spear,West Limgrave,Near Ash of War: Golden Vow along the cliff. Look for the large square ruins building and jump down to find this on a corpse
213,FALSE,Deathtouched Catacombs,SoG/Location,West Limgrave,"From Saintsbridge SoG, head West back toward the camp. Hug the right cliff face and there will be a spot just before the camp that you can jump up to on torrent. Look for the door on the left. Contains Grave Glovewort 1"
214,FALSE,Uchigatana,Katana,Deathtouched Catacombs,Up on the ledge with the archer skeletons
215,FALSE,Black knife Assassin,Boss,Deathtouched Catacombs,Drops the Assassin's Crimson Dagger
216,FALSE,Assassin's Crimson Dagger,Talisman,Deathtouched Catacombs,Dropped by the Black Knife Assassin
217,FALSE,Deathroot,Quest Item,Deathtouched Catacombs,Found in chest after defeating the Black Knife Assassin. First one found
218,FALSE,Ghost,Ghost,West Limgrave,Found kneeling just outside of the Deathtouched Catacombs. Exhaust dialogue for lore
219,FALSE,Lance Talisman,Talisman,West Limgrave,Northeast of the Deathtouched Catacombs past the bridge's pillars
220,FALSE,Highroad Cave,SoG/Location,West Limgrave,"Jump down from Saintsbridge SoG using Spirit Spring, then follow the canyon North past the land octopus enemies, on the left. Contains Smithing Stone 1,2"
221,FALSE,Shamshir,Curved Sword,Highroad Cave,Continue through the cave and down a hole near the wolves. Continue through until you find the waterfall area with the large bat enemies. Sitting on the circular platform
222,FALSE,Guardian Golem,Boss,Highroad Cave,"Boss is found behind a waterfall near the end of the area, after defeating the giant land octopus enemy. Drops the Blue Dancer Charm"
223,FALSE,Blue Dancer Charm,Talisman,Highroad Cave,Dropped by the Guardian Golem boss
224,FALSE,Murkwater Coast,SoG/Location,West Limgrave,"Take the road Southeast from Agheel Lake North SoG. At the bridge, turn left (North) then follow the cliff to the right. Will be down a small cliff on the right side, near the ruin structures"
225,FALSE,Armorer's Cookbook 1,Cookbook,West Limgrave,Southwest from Murkwater Coast SoG in an unnamed enemy camp
