Step,Completed?,Item/Objective,Category,Location,Notes
39,FALSE,Scadutree Fragment,Key Item,Gravesite Plain,Found near the Main Gate Cross SoG
40,FALSE,Sir Ansbach,NPC,Gravesite Plain,Found near the Main Gate Cross SoG. Exhaust dialogue
41,FALSE,Moore,NPC,Gravesite Plain,Found near the Main Gate Cross SoG. Exhaust dialogue. Is a merchant. Purchase one item from them to unlock dialogue. NOTE: DO NOT KILL FOR BELL-BEARING YET
42,FALSE,Sir Ansbach,NPC,Gravesite Plain,Return to him and ask about the person in the armor to get additional lore
43,FALSE,Hidden Passage,Secret,Gravesite Plain,Look to the South of the Main Gate Cross SoG for a hidden path. Take this to a hidden area and the Cliffroad Terminus SoG
44,FALSE,Cliffroad Terminus,SoG/Location,Gravesite Plain,Found by following the secret path South from the Main Gate Cross SoG
45,FALSE,Prospect Town,SoG/Location,Gravesite Plain,Found South of the Cliffroad Terminus SoG
46,FALSE,Bloodfiend's,Enemy,Prospect Town,Continue through the town and you will find a group of Bloodfiend enemies. Kill them and they will drop the Bloodfiend's Arm
47,FALSE,Bloodfiend's Arm,Colossal Weapon,Prospect Town,Found by defeating the Bloodfiend enemies in Prospect Town NOTE: Not farmable
48,FALSE,String-Seller's Bell Bearing,Bell Bearing,Prospect Town,"Found in the Western part of the town, hanging from a cliff in a pot. Use ranged to destroy the pot and it will drop"
49,FALSE,Outer God Heirloom,Talisman,Prospect Town,"Found in the tower in the Southern part of the Prospect Town, behind the door in a chest"
50,FALSE,Pot-Wielding Shadow Undead,Enemy,Gravesite Plain,Found North of the Prospect Town by finding a nearby path. Kill quickly for the Scadutree Blessing
51,FALSE,Scadutree Fragment,Key Item,Gravesite Plain,Dropped by the Pot-Wielding Shadow Undead North of the Prospect Town
52,FALSE,Revered Spirit Ashes,Key Item,Gravesite Plain,Return to the Cliffroad Terminus SoG and then head East/Southeast. Look for the pond with the turtles and find this on an altar
53,FALSE,Larval Tear,Key Item,Gravesite Plain,Head South until you find a location with glowing gravestones to find this. NOTE: Need to do this at night to find this
54,FALSE,Forager Brood,NPC,Gravesite Plain,"Near where you found the Larval Tear, or South from the Revered Spirit Ashes. Speak to Forager Brood (pest creature) for the Forager Brood Cookbook 2"
55,FALSE,Forager Brood Cookbook 2,Cookbook,Gravesite Plain,Found by speaking to Forager Brood (pest creature) East of the Prospect Town or South of the Revered Spirit Ashes
56,FALSE,Greater Potentate's Cookbook 5,Cookbook,Gravesite Plain,Continue Southeast until you find some large lightning ram enemies. Found on a corpse near some rocks
57,FALSE,Church of Benediction,SoG/Location,Gravesite Plain,"From the large lightning ram enemies, continue South by hugging the cliffs to the West and you'll find a small cave that leads to this"
58,FALSE,Blessed Blue Dew Talisman,Talisman,Gravesite Plain,Found inside the Church of Benediction
59,FALSE,Oathseeker Knight Armor,Armor Set,Gravesite Plain,"Found in the Northern part of the Church of Benediction, by looking over the ledge"
60,FALSE,Pata,Fist,Gravesite Plain,"Found in the Northern part of the Church of Benediction, by looking over the ledge"
61,FALSE,Artist's Shack,SoG/Location,Gravesite Plain,"Head back through the hidden cave where you came from, then make your way onto the plateau above you to the East. Contains the Incursion Painting"
62,FALSE,Incursion Painting,Painting,Gravesite Plain,Found in the Artist's Shack above the Church of Benediction
63,FALSE,"Greatbridge, North",SoG/Location,Gravesite Plain,"Return to the Three Path Cross SoG, then head North along the road until you find this SoG, just outside the Abandoned Ailing Village"
64,FALSE,Abandoned Ailing Village,SoG/Location,Gravesite Plain,"Just past the Greatbridge, North SoG"
65,FALSE,Ghost,Ghost,Abandoned Ailing Village,Found just inside the Abandoned Ailing Village
66,FALSE,Revered Spirit Ashes,Key Item,Abandoned Ailing Village,On the altar near the cliff edge to the East
67,FALSE,Ailment Talisman,Talisman,Abandoned Ailing Village,Head Northeast and look for this on a wooden platform on the cliff edge
68,FALSE,Larval Tear,Key Item,Gravesite Plain,"Head back to the Greatbridge, North SoG, then head East to find this near spectral gravestones. NOTE: Need to do this at night"
69,FALSE,Run-Down Traveler's Rest,SoG/Location,Gravesite Plain,"Found South/Southeast from the Abandoned Ailing Village, follow the cliff edge down"
70,FALSE,Greater Potentate's Cookbook 2,Cookbook,Gravesite Plain,Found in the Run-Down Traveler's Rest location near the Abandoned Ailing Village
71,FALSE,Greater Potentate's Cookbook 10,Cookbook,Gravesite Plain,"Return to the Greatbridge, North SoG and head North. Find this in another ruined building near the cliff edge "
72,FALSE,Great Katana,Great Katana,Gravesite Plain,"Found in the lake to the West of the Greatbridge, North SoG. Near the Ghostflame Dragon"
73,FALSE,Ghostflame Dragon,Boss,Gravesite Plain,"Found in the lake to the West of the Greatbridge, North SoG. NOTE: Can be a difficult fight. Drops Dragon Heart and Somber Ancient Dragon Smithing Stone"
74,FALSE,Dragon Heart,Key Item,Gravesite Plain,"Dropped by the Ghostflame Dragon near the Greatbridge, North SoG"
75,FALSE,Somber Ancient Dragon Smithing Stone,Upgrade Mat,Gravesite Plain,"Dropped by the Ghostflame Dragon near the Greatbridge, North SoG"
76,FALSE,Belurat Gaol,SoG/Location,Gravesite Plain,Head West from the lake with the Ghostflame Dragon and head past the broken cages on the ground. You will find the entrance to this. Follow the tunnel to find the SoG
77,FALSE,Ghost,Ghost,Belurat Gaol,Head through the next tunnel and out the door. Turn left and head down the stairs/path. At the end the stairs will break from under you. Take the narrow path to the right. Head through the Northeast door. Look for a small hole to the right and jump through. Continue through the next room and out the Southwest door. Head through the next door and speak to this ghost for lore
78,FALSE,Hefty Cracked Pot,Consumable,Belurat Gaol,Continue out the next door in the room with the hanging jars. Head to the other side and look for a jar you can jump onto. Descend the jars to the wooden platform near the bottom and find this in the chest 
79,FALSE,Greater Potentate's Cookbook 11,Cookbook,Belurat Gaol,"Drop down from the wooden platform. Head through the door in the West of this large room. Drop to the stone bridge and go across. On the other side, drop down to some pots below. head to the Southwest and curve around the path to the right, then the left, weaving in between the pots. You will come across some more buried in the ground to the right. Jump over those and head to the West. Curve around the pot to the right and find this"
80,FALSE,Hefty Cracked Pot,Consumable,Belurat Gaol,Head back Southwest and follow the rockface around until you can jump up some jars. Jump across to the other jars to the Northwest to find this NOTE: You need to jump right at the last moment to make this jump
81,FALSE,Hefty Cracked Pot,Consumable,Belurat Gaol,Jump to the pot to the West and then to the pots buried in the ground. Then turn right and continue. Jump up some more jars at the end of this path and find this
82,FALSE,Greatjar,Helmet,Belurat Gaol,"Jump down to the Southeast and continue through the jars to the Southeast to find a door. Take the stairs leading down. Go across the stone bridge and immediately head right Look over the ledge for a hanging jar you can jump down to and it will begin to rise.  Once it reaches the top, look to the Northwest for another jar to jump to and continue to the stone pillar. Then jump across two more jars and head up the stairs and into the room. Jump up to the altar to find this"
83,FALSE,Demi-Human Swordmaster Onze,Boss,Belurat Gaol,"Head Southeast and look for a pot over the ledge to jump down to. Do this again and get to the stone bridge you were at before. Jump to the Jar to the Southeast, then to the stone pillars coming up from the ground. Drop down to the next ledge to find this boss gate in the cavern. Drops the Demi-Human Swordsman Yosh Spirit Ash"
84,FALSE,Demi-Human Swordsman Yosh,Spirit Ash,Belurat Gaol,Dropped by Demi-Human Swordmaster Onze in the Belurat Gaol
85,FALSE,Gravebird Armor,Chest Armor,Gravesite Plain,Leave the Belurat Gaol and head North. It is near a small mausoleum and some bird enemies
86,FALSE,Serpent Crest Shield,Medium Shield,Gravesite Plain,"Found Southwest of the lake with the Ghostflame Dragon, must interact with a ghost that is found here after obtaining the Incursion Painting in a previous step"
87,FALSE,"Belurat, Tower Settlement",Checkpoint,Gravesite Plain,"Return to the Main Gate Cross SoG to begin this legacy dungeon. From here, continue up the stairs and enter the large door"
88,FALSE,Revered Spirit Ashes,Key Item,"Belurat, Tower Settlement",Continue up the next set of stairs. Found on the altar in the room with the first giant scorpion
89,FALSE,"Belurat, Tower Settlement (SoG)",SoG/Location,"Belurat, Tower Settlement","Continue through another door and up the stairs, then through another door to get outside. Continue along the path to find this SoG"
90,FALSE,Small Private altar,SoG/Location,"Belurat, Tower Settlement","From the Belurat, Tower Settlement SoG, head Southeast. Continue past the fountain and up the stairs slightly to the right. Continue Southeast, under the bridge with the ranged enemies,  up the ramp and through the doorway on the left. Continue up the stairs in the room to find this SoG"
91,FALSE,Fire Knight Queelign,Invader,"Belurat, Tower Settlement","Head into the next room, outside, and up the stairs to the North. Turn right and continue through a rubble area heading Northeast until you pass under an archway leading to a large fountain. He will invade here. Killing him will drop the Crusade Insignia Talisman"
92,FALSE,Crusade Insignia,Talisman,"Belurat, Tower Settlement",Dropped by Fire Knight Queelign near the large fountain in Belurat
93,FALSE,Ash of War: Shriek of Sorrow,Ash of War,"Belurat, Tower Settlement",Found on the other side of the large fountain near where Fire Knight Queelign invaded
94,FALSE,Storeroom Key,Key Item,"Belurat, Tower Settlement","Return to the Small Private altar SoG, then head out the same door as before, but head up the stairs to the Northwest then immediately cut right. Continue along this route, turn left, then look for a doorway on the right. Go in this room and up the ladder, found on a corpse"
95,FALSE,Well Depths Key,Key Item,"Belurat, Tower Settlement","Continue outside from the Storeroom Key, then look for a red roof you can jump to next to some stairs. Hop onto this and then the bridge connecting the two buildings. Go into the building on the other end of the bridge to find this key"
96,FALSE,Shortcut,Shortcut,"Belurat, Tower Settlement","Return to the stairs near the room with the Storeroom Key, then head up the stairs. Take the left stairs down, then left and down again and you will find an elevator. Ride this down to create a shortcut from the first grace"
97,FALSE,Bone Bow,Light Bow,"Belurat, Tower Settlement","Take the elevator shortcut back up. Continue back up the stairs, then left toward the open room. Found in the back of this room. NOTE: Be wary of the two scorpions that will drop down in this room"
98,FALSE,Scadutree Fragment,Key Item,"Belurat, Tower Settlement",Return to the alley then climb over the rubble to find another door. Continue up the stairs and through the door in the back left. Found near the MIquella Cross
99,FALSE,Dried Bouquet,Talisman,"Belurat, Tower Settlement",Exit the door on the right and continue to the altar on the ledge
100,FALSE,Pot-Wielding Shadow Undead,Enemy,"Belurat, Tower Settlement","Return to the first SoG, take the elevator up, then return to the split path, then go right. Continue along the rooftops, then hop onto the streets above. Drops a Revered Spirit Ash"
101,FALSE,Revered Spirit Ashes,Key Item,"Belurat, Tower Settlement",Dropped by the Pot-Wielding Shadow Undead enemy
102,FALSE,Revered Spirit Ashes,Key Item,"Belurat, Tower Settlement","Continue across the bridge, then down the street on the left. Continue along the street until you find a plaza with enemies praying. Find this on the altar nearby"
103,FALSE,Stagefront,SoG/Location,"Belurat, Tower Settlement",Continue up the stairs and into the tower and continue up the stairs until you exit. This SoG will be right before the boss door
104,FALSE,Hornsent Grandam,NPC,"Belurat, Tower Settlement","Return to the Small Private Altar SoG, then head out the left doorway and across the bridge. Use the Storeroom Key obtained earlier to open this door and speak to this NPC"
105,FALSE,Directional Step,Event,"Belurat, Tower Settlement","Return to the Belurat, Tower Settlement SoG, then head Southeast, up the stairs to the right just past the first fountain, then cut right again and head to a second fountain. A well will be on the left which you can go down. Use the Well Depths Key on the door and continue through"
106,FALSE,Lesser Ulcerated Tree Spirit,Enemy,"Belurat, Tower Settlement","Continue from the Well Depths door you opened before, and look for a large open area. The Ulcerated Tree Spirit will appear here. Drops the Immunizing Horn Charm +2"
107,FALSE,Immunizing Horn Charm +2,Talisman,"Belurat, Tower Settlement",Dropped by the Lesser Ulcerated Tree Spirit in the Well Depths in Belurat
108,FALSE,Horned Warrior,Enemy,"Belurat, Tower Settlement",Return to the start of this area and take the other direction heading toward the underside of the bridge. Drops the Horned Warrior's Sword
109,FALSE,Horned Warrior's Sword,Curved Sword,"Belurat, Tower Settlement",Dropped by the Horned Warrior in the Well Depths Moat
110,FALSE,Poisoned Hand,Fist,"Belurat, Tower Settlement",Continue on to a submerged tower to find this on a corpse
111,FALSE,Redmane Freyja,Summon,"Belurat, Tower Settlement","Return to the Stagefront SoG. Near the boss door, you can summon this NPC to help with the fight"
112,FALSE,Divine Beast Dancing Lion,Boss,"Belurat, Tower Settlement",Drops the Remembrance of the Dancing Lion and the Divine Beast Head Helm
113,FALSE,Divine Beast Head,Helmet,"Belurat, Tower Settlement",Dropped by the Divine Beast Dancing Lion in Belurat
114,FALSE,Remembrance of the Dancing Lion,Remembrance,"Belurat, Tower Settlement",Dropped by the Divine Beast Dancing Lion in Belurat
115,FALSE,Theatre of the Divine Beast,SoG/Location,"Belurat, Tower Settlement",Found in the boss arena after defeating the Divine Beast Dancing Lion boss
116,FALSE,Revered Spirit Ashes,Key Item,"Belurat, Tower Settlement",Take the newly appeared lift and exit through the door. Near the staircase
117,FALSE,Ghost,Ghost,"Belurat, Tower Settlement",Found kneeling on the staircase leading from the Theatre of the Divine Beast lift
118,FALSE,Tower of Shadow Message,Key Item,"Belurat, Tower Settlement",Continue up the staircase to the top and find this on the right
119,FALSE,Hornsent Grandam,NPC,"Belurat, Tower Settlement",Return to Hornsent Grandam and wear the newly acquired Divine Beast Head. Speak to her to receive the Watchful Spirit Incantation. Continue speaking to her (may need to reload game each time) and she will make you a Scorpion Stew. Get one and hold onto it for now
120,FALSE,Watchful Spirit,Incantation,"Belurat, Tower Settlement",Received by speaking to Hornsent Grandam while wearing the Divine Beast Head
121,FALSE,Scorpion Stew,Quest Item,"Belurat, Tower Settlement",Received by speaking to Hornsent Grandam while wearing the Divine Beast Head
122,FALSE,Redmane Freyja,NPC,Gravesite Plain,Return to the Three Path Cross SoG and speak to this NPC. She will have more dialogue if you summoned her for the boss fight earlier
123,FALSE,Hornsent,NPC,Gravesite Plain,Speak to this NPC and give them the Scorpion Stew to receive 3 Furnace Visage
124,FALSE,Ellac Greatbridge,SoG/Location,Gravesite Plain,Head Northeast from the Three Path Cross SoG
125,FALSE,Firespark Perfume Bottle,Perfume Bottle,Gravesite Plain,Found in the section of camp to the right after crossing the Ellac Greatbridge
126,FALSE,Fire Knight's Cookbook 2,Cookbook,Gravesite Plain,Head to the Northern part of the camp and find this near the Black Steel Knight enemy
127,FALSE,Castle Front,SoG/Location,Gravesite Plain,Continue Northeast past the camp to find this before another bridge
128,FALSE,Scadutree Fragment,Key Item,Gravesite Plain,Found near the Castle Front SoG just before Castle Ensis
129,FALSE,Spelldrake Talisman +3,Talisman,Gravesite Plain,"Follow sloping path to the left of the bridge, then leap over the chasm to a room at the base of the castle"
130,FALSE,Fog Rift Catacombs,SoG/Location,Gravesite Plain,"Return to the Castle Front SoG, then head North beyond the camp and into the canyon. You will eventually begin going down a slope, and will find the door to this location embedded in the side of the rockface"
131,FALSE,Ancient Dragon Knight's Cookbook 1,Cookbook,Fog Rift Catacombs,"Continue through the catacombs, heading into the next room and then left. Be wary of the spike ceiling trap in the big room. Make your way across the room to the hall to the West. Continue into the next room then turn right, follow this path down some stairs, and then right again into a smaller room"
132,FALSE,Great Ghost Glovewort,Upgrade Mat,Fog Rift Catacombs,"Return to the previous room and continue through the hall to the West, heading down some stairs. You will notice the spike ceiling trap go down, then jump on top of it. Make your way to the South hallway quickly then turn left at the enemy. Continue East and find this near a Black Steel Knight enemy"
133,FALSE,Black Knight Commander Andreas,Spirit Ashes,Fog Rift Catacombs,"Return to the previous room and turn left. Wait for the spike ceiling trap to fall and jump onto it, then quickly make your way to the East into a narrow hallway. Follow the path, turn left, then head North until you find this in a coffin"
134,FALSE,Electrocharge,Incantation,Fog Rift Catacombs,"Return to the previous room and then go right and out a window. Continue West, down some stairs, and across a bridge. Turn right, go through a hallway. Jump onto the spike ceiling trap, head to the hallway in the East, then quickly turn around and drop below the spike ceiling trap as it is going up. Head to the Western stairs and take the lift down. Continue West, then South into a hallway. Continue into the next room with the two spike ceiling traps, jump into the hole in the second alcove on the left. Head North, and then West and you will find this in a bigger room with an enemy and water on the ground"
135,FALSE,Ash of War: Blinkbolt,Ash of War,Fog Rift Catacombs,"Return to the previous room, then go up the ladder on the left. Head through the hallway, then jump down and turn left, then left again and head into the next hallway. Continue through the large room with two spike ceiling traps. Climb on top of the platform at the other side of the room, then wait for the ceiling trap to lower and jump in the small notch on the ceiling trap. Quickly turn around at the top and jump into the room to find this in a chest"
136,FALSE,Stone-Sheathed Sword,Straight Sword,Fog Rift Catacombs,"Return to the spike ceiling trap, then wait for it to come up again and jump on top. Run to the other side and look for a large opening on the right. Jump through and find this on an altar. NOTE: Later you will be able to convert this weapon to the Sword of Light or the Sword of Dark. Unless you come back to this location and grab this item on NG+, you will only be able to have one or the other at any given time. You can also switch between the two versions freely by going back to the Altars"
137,FALSE,Death Knight,Boss,Fog Rift Catacombs,"From the Stone-Sheathed Sword, look to the left when facing away from the altar and go down the ladder on the left. Turn right in the next room and drop down the hole. Head through the archway in the West and take the lift down. Continue West and down some stairs to find this boss. Drops the Death Knight Twin Axes"
138,FALSE,Death Knight's Twin Axes,Axe,Fog Rift Catacombs,Dropped by the Death Knight boss
139,FALSE,Crimson Amber Medallion +3,Talisman,Fog Rift Catacombs,Dropped by the Death Knight boss
140,FALSE,Swift Spear,Spear,Gravesite Plain,"Return to Castle Front SoG, then head East and follow the path which will eventually curve South. Found in the small soldier camp"
141,FALSE,Pillar Path Cross,SoG/Location,Gravesite Plain,Continue past the camp in the previous step until you see a path leading to the left. Follow this South to find this SoG
142,FALSE,Miquella's Cross,Cross,Gravesite Plain,Found near the Pillar Path Cross SoG
143,FALSE,Scadutree Fragment,Key Item,Gravesite Plain,Found near the Pillar Path Cross SoG
144,FALSE,Thiollier,NPC,Gravesite Plain,Found near the Pillar Path Cross SoG. Sells the Deadly Poison Perfume Bottle
145,FALSE,Deadly Poison Perfume Bottle,Perfume Bottle,Gravesite Plain,Sold by Thiollier at the Pillar Path Cross SoG
146,FALSE,Sir Ansbach,NPC,Gravesite Plain,Return to the Main Gate Cross SoG after speaking with Thiollier and speak to them for additional dialogue
147,FALSE,Moore,NPC,Gravesite Plain,Return to the Main Gate Cross SoG after speaking with Thiollier and speak to them for additional dialogue. He will give you the Deadly Black Syrup
148,FALSE,Black Syrup,Quest Item,Gravesite Plain,Given to you by Moore. Speak to him after meeting Thiollier
149,FALSE,Thiollier,NPC,Gravesite Plain,Return to the Pillar Path Cross SoG and he will ask you if you are weary of life and will offer to make you Thiollier's Concoction
150,FALSE,Thiollier's Concoction,Quest Item,Gravesite Plain,Received from Thiollier after giving him the Deadly Black Syrup
151,FALSE,Pillar Path Waypoint,SoG/Location,Gravesite Plain,Return to the fork and take the other path South to find this SoG
152,FALSE,Igon,NPC,Gravesite Plain,Found on the road to the West of the Pillar Path Waypoint SoG. Exhaust his dialogue
153,FALSE,Gravebird Bracelets,Gauntlets,Gravesite Plain,"Found by heading further South from the Pillar Path Waypoint SoG, on a stone platform surrounded by Gravebird enemies"
154,FALSE,Larval Tear,Key Item,Gravesite Plain,Make your way Southeast from the Gravebird Bracelets. You will come across some spectral gravestones. NOTE: Need to do this at night
155,FALSE,Suppressing Pillar,SoG/Location,Gravesite Plain,"Head back East, then continue South up the hill to find this monument"
156,FALSE,Ancient Dragon Smithing Stone,Upgrade Mat,Gravesite Plain,Found at the Suppressing Pillar Monument
157,FALSE,Ancient Dragon-Man,Invader,Gravesite Plain,"Return to the Pillar Path Waypoint SoG, then continue South/Southwest. You will find this NPC invader along the path"
158,FALSE,Herbalist's Bell Bearing,Bell Bearing,Gravesite Plain,"Continue past the encounter with the Ancient Dragon-Man, and keep an eye up above along the right rock face for a pot that is hanging by a rope. Shoot it down to get this bell bearing"
159,FALSE,Dragon's Pit,SoG/Location,Gravesite Plain,Continue along the path and you will eventually find a cave entrance to the left in the cliff face
160,FALSE,Magma Wyrm,Enemy,Dragon's Pit,"Continue through the tunnel and turn right. Follow this path toward the Northeast. Follow this next Tunnel until you reach a cliff edge, turn left. Run past the shrine and jump down. Head up the stairs and into the next tunnel. Drops an Ancient Dragon Smithing Stone and Dragon Heart"
161,FALSE,Ancient Dragon Smithing Stone,Upgrade Mat,Dragon's Pit,Dropped by the Magma Wyrm inside the Dragon's Pit
162,FALSE,Dragon Heart,Key Item,Dragon's Pit,Dropped by the Magma Wyrm inside the Dragon's Pit
163,FALSE,Ancient Dragon-Man,Boss,Dragon's Pit,Drop down hole to the West of this room and make your way to the bottom of this room. Continue through the South tunnel and into the large room. Drop down into the dark abyss below to find the boss room. Drops Dragon-Hunter's Great Katana
164,FALSE,Dragon-Hunter's Great Katana,Great Katana,Dragon's Pit,Dropped by Ancient Dragon-Man boss in the Dragon's Pit
165,FALSE,Dragon's Pit Terminus,SoG/Location,Dragon's Pit,Continue through the door in this boss room to find this SoG. We will return to this path later on
166,FALSE,Spread Crossbow,Crossbow,Gravesite Plain,"Return to the Castle Front SoG, then head toward the path taken before and instead head down the slope heading South. Follow the cliff face and jump down to a lower section with enemies"
167,FALSE,Ruined Forge Lava Intake,SoG/Location,Gravesite Plain,Continue South from where you found the Spread Crossbow and you'll find the ruins opening. There are a lot of upgrade materials in this location
168,FALSE,Ghost,Ghost,Ruined Forge Lava Intake,Found just past the SoG in the Ruined Forge Lava Intake mini-dungeon
169,FALSE,Greater Potentate's Cookbook 13,Cookbook,Ruined Forge Lava Intake,"Continue along the path past the ghost, until you see a ladder on your left. Jump down to this platform, then continue and turn right.Continue into another room and turn left. Jump down to a ledge on your right, then turn around and look for the cookbook in the middle of some hot coals"
170,FALSE,Smithscript Dagger,Dagger,Ruined Forge Lava Intake,Go down the stairs and go to the West/Northwest part of the large room and through the hallway. On a corpse on the other end of this new room
171,FALSE,Pull the Lever,Event,Ruined Forge Lava Intake,"Return to the larger staircase at the beginning of the large room, go up, and then turn left and climb the path of rubble. Go through the hallway to the right and take the ladder down. Pull the lever"
172,FALSE,Anvil Hammer,Colossal Weapon,Ruined Forge Lava Intake,"Drop down from the lever, then run and jump to the nearly descended large pipe coming out of the lava. Jump off to the right, then go up the stairs. Interact with the fire altar to receive this item"
173,FALSE,Ancient Dragon Smithing Stone,Upgrade Mat,Ruined Forge Lava Intake,"Drop down from the lever, then run and jump to the nearly descended large pipe coming out of the lava. Jump off to the right, then go up the stairs. Interact with the fire altar to receive this item"
174,FALSE,Greater Potentate's Cookbook 7,Cookbook,Gravesite Plain,Leave the Ruined Forge Lava Intake dungeon and head North. Keep an eye on your right for another path leading down underneath a large stone "bridge". Look to the East for a path through some poison swamp area. Find this on a corpse near the big poison flower enemy
175,FALSE,Elder's Hovel,SoG/Location,Gravesite Plain,Continue Southeast along the cliff face until you see a rundown structure
176,FALSE,Ghost,Ghost,Gravesite Plain,Found at the Elder's Hovel in the poison swamp below Castle Ensis
177,FALSE,Talisman of the Dread,Talisman,Gravesite Plain,Found at the Elder's Hovel in the poison swamp below Castle Ensis
